Sample ID,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),Corr Coef,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Net)2,Int (Corr)2,Conc (Calib)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Net)3,Int (Corr)3,Conc (Calib)3,Conc (Samp)3,Repl No4,Date4,Time4,Int (Net)4,Int (Corr)4,Conc (Calib)4,Conc (Samp)4,Repl No5,Date5,Time5,Int (Net)5,Int (Corr)5,Conc (Calib)5,Conc (Samp)5
blk,Sc 361.383,1/31/2023,11:17:09 AM,Sc,361.376,17454927.01,1.002159419,104.4129249, ,104.41, ,1.002159419, ,1,1/31/2023,11:16:45 AM,17437565.84,17437565.84,104.3090728, ,2,1/31/2023,11:16:57 AM,17637886.44,17637886.44,105.5073625, ,3,1/31/2023,11:17:09 AM,17289328.75,17289328.75,103.4223393, ,,,,,,,,,,,,,,
blk,Eu 381.967,1/31/2023,11:17:15 AM,Eu,381.951,65185.75895,29.37391719, , , , , , ,1,1/31/2023,11:16:51 AM,87770.95701,84145.08406, , ,2,1/31/2023,11:17:03 AM,69167.39168,65556.93368, , ,3,1/31/2023,11:17:15 AM,47424.58168,45855.25912, , ,,,,,,,,,,,,,,
blk,Sc 361.383,1/31/2023,11:23:10 AM,Sc,361.376,17358095.23,1.126011038,103.8336908, ,103.83, ,1.126011038, ,1,1/31/2023,11:22:46 AM,17516484.62,17516484.62,104.7811539, ,2,1/31/2023,11:22:58 AM,17139663.71,17139663.71,102.5270641, ,3,1/31/2023,11:23:10 AM,17418137.36,17418137.36,104.1928543, ,,,,,,,,,,,,,,
blk,Eu 381.967,1/31/2023,11:23:15 AM,Eu,381.951,694.7336955,8.67114805, , , , , , ,1,1/31/2023,11:22:51 AM,793.085938,756.8975035, , ,2,1/31/2023,11:23:03 AM,708.1385995,690.6845583, , ,3,1/31/2023,11:23:15 AM,663.3115332,636.6190248, , ,,,,,,,,,,,,,,
blk,Sc 361.383,1/31/2023,11:26:12 AM,Sc,361.376,17244404.63,0.365813581,103.1536096, ,103.15, ,0.365813581, ,1,1/31/2023,11:25:48 AM,17198926.42,17198926.42,102.8815653, ,2,1/31/2023,11:26:00 AM,17316420.36,17316420.36,103.5843975, ,3,1/31/2023,11:26:12 AM,17217867.12,17217867.12,102.9948659, ,,,,,,,,,,,,,,
blk,Eu 381.967,1/31/2023,11:26:17 AM,Eu,381.951,325.3646506,7.194388773, , , , , , ,1,1/31/2023,11:25:53 AM,357.4725906,347.4602953, , ,2,1/31/2023,11:26:05 AM,311.6176791,300.8345722, , ,3,1/31/2023,11:26:17 AM,337.6162273,327.7990844, , ,,,,,,,,,,,,,,
blk,Sc 361.383,1/31/2023,11:29:28 AM,Sc,361.376,17432400.13,0.403856186,104.2781723, ,104.28, ,0.403856186, ,1,1/31/2023,11:29:04 AM,17364396.91,17364396.91,103.8713865, ,2,1/31/2023,11:29:16 AM,17427825.98,17427825.98,104.2508104, ,3,1/31/2023,11:29:28 AM,17504977.49,17504977.49,104.7123199, ,,,,,,,,,,,,,,
blk,Eu 381.967,1/31/2023,11:29:33 AM,Eu,381.951,-239.1191057,6.266911105, , , , , , ,1,1/31/2023,11:29:10 AM,-248.7535491,-239.482265, , ,2,1/31/2023,11:29:21 AM,-264.7132481,-253.9196072, , ,3,1/31/2023,11:29:33 AM,-234.5089419,-223.955445, , ,,,,,,,,,,,,,,
Calib Blank 1,Sc 361.383,1/31/2023,11:33:47 AM,Sc,361.376,17820953.76,0.798874018, , ,[0.00], ,0.798874018, ,1,1/31/2023,11:33:23 AM,17983537.27,17983537.27, , ,2,1/31/2023,11:33:35 AM,17760716.82,17760716.82, , ,3,1/31/2023,11:33:47 AM,17718607.19,17718607.19, , ,,,,,,,,,,,,,,
Calib Blank 1,Eu 381.967,1/31/2023,11:33:52 AM,Eu,381.951,658.3201145,61.01586677, , ,[0.00], ,0, ,1,1/31/2023,11:33:28 AM,1103.513442,1093.536923, , ,2,1/31/2023,11:33:40 AM,577.6279318,579.5870048, , ,3,1/31/2023,11:33:52 AM,300.1029545,301.8364151, , ,,,,,,,,,,,,,,
25ppm,Sc 361.383,1/31/2023,11:39:34 AM,Sc,361.376,17596781.07,0.281899172, , ,98.742, ,0.281899172, ,1,1/31/2023,11:38:59 AM,17541621.23,17541621.23, , ,2,1/31/2023,11:39:17 AM,17637729.52,17637729.52, , ,3,1/31/2023,11:39:34 AM,17610992.48,17610992.48, , ,,,,,,,,,,,,,,
25ppm,Eu 381.967,1/31/2023,11:39:34 AM,Eu,381.951,7235990.053,0.225385497, , ,[25], ,0, ,1,1/31/2023,11:38:59 AM,7106188.692,7218689.224, , ,2,1/31/2023,11:39:17 AM,7164431.945,7238199.171, , ,3,1/31/2023,11:39:34 AM,7166302.196,7251081.763, , ,,,,,,,,,,,,,,
50ppm,Sc 361.383,1/31/2023,11:45:16 AM,Sc,361.376,17562395.73,0.091014634, , ,98.549, ,0.091014634, ,1,1/31/2023,11:44:41 AM,17563905.73,17563905.73, , ,2,1/31/2023,11:44:59 AM,17545709.96,17545709.96, , ,3,1/31/2023,11:45:16 AM,17577571.49,17577571.49, , ,,,,,,,,,,,,,,
50ppm,Eu 381.967,1/31/2023,11:45:16 AM,Eu,381.951,14654123.02,0.331754107, , ,[50], ,0, ,1,1/31/2023,11:44:41 AM,14400508.68,14610602.03, , ,2,1/31/2023,11:44:59 AM,14419630.52,14645176.44, , ,3,1/31/2023,11:45:16 AM,14506390.77,14706590.59, , ,,,,,,,,,,,,,,
100ppm,Sc 361.383,1/31/2023,11:50:59 AM,Sc,361.376,17566308.57,0.761917131, , ,98.571, ,0.761917131, ,1,1/31/2023,11:50:25 AM,17469039.08,17469039.08, , ,2,1/31/2023,11:50:42 AM,17718949.67,17718949.67, , ,3,1/31/2023,11:50:59 AM,17510936.97,17510936.97, , ,,,,,,,,,,,,,,
100ppm,Eu 381.967,1/31/2023,11:50:59 AM,Eu,381.951,28768832.57,0.396033234, , ,[100], ,0, ,1,1/31/2023,11:50:25 AM,28090686.01,28655915.99, , ,2,1/31/2023,11:50:42 AM,28602822.16,28766823.99, , ,3,1/31/2023,11:50:59 AM,28381937.09,28883757.71, , ,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,11:56:21 AM,Sc,361.376,17907068.3,0.389779924,100.4832207, ,100.48, ,0.389779924, ,1,1/31/2023,11:55:57 AM,17907518.71,17907518.71,100.4857481, ,2,1/31/2023,11:56:09 AM,17837046.03,17837046.03,100.0902997, ,3,1/31/2023,11:56:21 AM,17976640.16,17976640.16,100.8736143, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,11:56:26 AM,Eu,381.951,259.2497064,182.2072737,-0.247336252,-0.247336252,-0.2473,-0.2473,0.663491443,0.999944883,1,1/31/2023,11:56:02 AM,1435.111425,769.8539821,-0.245562375,-0.245562375,2,1/31/2023,11:56:14 AM,829.140954,170.0728033,-0.247646059,-0.247646059,3,1/31/2023,11:56:26 AM,500.4768198,-162.1776661,-0.248800322,-0.248800322,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:01:46 PM,Sc,361.376,17960215.03,1.000452495,100.7814468, ,100.78, ,1.000452495, ,1,1/31/2023,12:01:23 PM,17979321.17,17979321.17,100.8886584, ,2,1/31/2023,12:01:34 PM,17771742.01,17771742.01,99.72385456, ,3,1/31/2023,12:01:46 PM,18129581.91,18129581.91,101.7318273, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:01:51 PM,Eu,381.951,-552.5406895,16.13662373,-0.250156472,-0.250156472,-0.2502,-0.2502,0.123823853,0.999944883,1,1/31/2023,12:01:28 PM,184.2618329,-475.6813166,-0.249889457,-0.249889457,2,1/31/2023,12:01:39 PM,126.3230776,-531.6472355,-0.250083887,-0.250083887,3,1/31/2023,12:01:51 PM,8.165604952,-650.2935163,-0.250496073,-0.250496073,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:07:11 PM,Sc,361.376,17898090.39,0.830641557,100.4328423, ,100.43, ,0.830641557, ,1,1/31/2023,12:06:48 PM,17775778.56,17775778.56,99.74650516, ,2,1/31/2023,12:06:59 PM,18063564.7,18063564.7,101.3613802, ,3,1/31/2023,12:07:11 PM,17854927.92,17854927.92,100.1906416, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:07:16 PM,Eu,381.951,-638.4610196,7.465238489,-0.250454966,-0.250454966,-0.2505,-0.2505,0.066113104,0.999944883,1,1/31/2023,12:06:53 PM,73.41302194,-584.7205213,-0.250268267,-0.250268267,2,1/31/2023,12:07:04 PM,3.314223347,-655.0504043,-0.250512599,-0.250512599,3,1/31/2023,12:07:16 PM,-17.32498452,-675.6121332,-0.250584032,-0.250584032,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:12:36 PM,Sc,361.376,18021179.98,0.628929415,101.1235438, ,101.12, ,0.628929415, ,1,1/31/2023,12:12:13 PM,17932474.86,17932474.86,100.6257863, ,2,1/31/2023,12:12:24 PM,17982198.16,17982198.16,100.9048023, ,3,1/31/2023,12:12:36 PM,18148866.93,18148866.93,101.8400428, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:12:41 PM,Eu,381.951,-692.6423665,8.092332724,-0.250643196,-0.250643196,-0.2506,-0.2506,0.077690154,0.999944883,1,1/31/2023,12:12:18 PM,18.48689911,-639.9481844,-0.250460132,-0.250460132,2,1/31/2023,12:12:30 PM,-94.05808243,-751.5347884,-0.250847793,-0.250847793,3,1/31/2023,12:12:41 PM,-28.64150617,-686.4441268,-0.250621663,-0.250621663,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:18:01 PM,Sc,361.376,18064408.59,0.513874024,101.3661156, ,101.37, ,0.513874024, ,1,1/31/2023,12:17:38 PM,18131954.43,18131954.43,101.7451404, ,2,1/31/2023,12:17:49 PM,18102713.85,18102713.85,101.5810607, ,3,1/31/2023,12:18:01 PM,17958557.5,17958557.5,100.7721457, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:18:06 PM,Eu,381.951,-682.8182644,2.568691522,-0.250609066,-0.250609066,-0.2506,-0.2506,0.024314168,0.999944883,1,1/31/2023,12:17:43 PM,-4.336755177,-662.5824853,-0.250538766,-0.250538766,2,1/31/2023,12:17:54 PM,-35.89501559,-693.6564413,-0.250646719,-0.250646719,3,1/31/2023,12:18:06 PM,-34.15747667,-692.2158665,-0.250641714,-0.250641714,,,,,,,,,,,,,,
10B1[01]01A20221108,Sc 361.383,1/31/2023,12:23:26 PM,Sc,361.376,17559273.99,0.281083022,98.53161747, ,98.532, ,0.281083022, ,1,1/31/2023,12:23:03 PM,17610091.31,17610091.31,98.81677233, ,2,1/31/2023,12:23:14 PM,17511521.91,17511521.91,98.26366277, ,3,1/31/2023,12:23:26 PM,17556208.76,17556208.76,98.51441729, ,,,,,,,,,,,,,,
10B1[01]01A20221108,Eu 381.967,1/31/2023,12:23:31 PM,Eu,381.951,-829.3684871,3.180104335,-0.251118193,-0.251118193,-0.2511,-0.2511,0.036487982,0.999944883,1,1/31/2023,12:23:08 PM,-194.4343598,-855.0826227,-0.251207525,-0.251207525,2,1/31/2023,12:23:19 PM,-141.5578386,-802.3793065,-0.25102443,-0.25102443,3,1/31/2023,12:23:31 PM,-169.7634108,-830.6435322,-0.251122622,-0.251122622,,,,,,,,,,,,,,
10L1[01]03A20221108,Sc 361.383,1/31/2023,12:29:15 PM,Sc,361.376,16177071.02,0.636347747,90.77556247, ,90.776, ,0.636347747, ,1,1/31/2023,12:28:40 PM,16142317.75,16142317.75,90.58054895, ,2,1/31/2023,12:28:58 PM,16096003.25,16096003.25,90.32066106, ,3,1/31/2023,12:29:15 PM,16292892.06,16292892.06,91.42547741, ,,,,,,,,,,,,,,
10L1[01]03A20221108,Eu 381.967,1/31/2023,12:29:15 PM,Eu,381.951,9856629.179,0.472018018,33.99442648,33.99442648,33.994,33.994,0.475464827,0.999944883,1,1/31/2023,12:28:40 PM,8949290.816,9879267.249,34.07307282,34.07307282,2,1/31/2023,12:28:58 PM,8931052.489,9887502.798,34.10168373,34.10168373,3,1/31/2023,12:29:15 PM,8963148.838,9803117.49,33.80852288,33.80852288,,,,,,,,,,,,,,
10L1[01]02A20221108,Sc 361.383,1/31/2023,12:34:58 PM,Sc,361.376,16352898.6,0.103868993,91.76219644, ,91.762, ,0.103868993, ,1,1/31/2023,12:34:24 PM,16334355.89,16334355.89,91.65814637, ,2,1/31/2023,12:34:41 PM,16367704.95,16367704.95,91.84528036, ,3,1/31/2023,12:34:58 PM,16356634.97,16356634.97,91.7831626, ,,,,,,,,,,,,,,
10L1[01]02A20221108,Eu 381.967,1/31/2023,12:34:58 PM,Eu,381.951,17089149.25,0.570041612,59.12073949,59.12073949,59.121,59.121,0.57243511,0.999944883,1,1/31/2023,12:34:24 PM,15566958.86,16983057.23,58.75216795,58.75216795,2,1/31/2023,12:34:41 PM,15715167.63,17109820.92,59.19255444,59.19255444,3,1/31/2023,12:34:58 PM,15763967.35,17174569.58,59.41749609,59.41749609,,,,,,,,,,,,,,
10L1[01]01A20230130,Sc 361.383,1/31/2023,12:40:44 PM,Sc,361.376,67632370.91,0.161257101,379.5103888, ,379.51, ,0.161257101, ,1,1/31/2023,12:40:09 PM,67758265.17,67758265.17,380.2168283, ,2,1/31/2023,12:40:26 PM,67572161.78,67572161.78,379.1725329, ,3,1/31/2023,12:40:44 PM,67566685.78,67566685.78,379.1418051, ,,,,,,,,,,,,,,
10L1[01]01A20230130,Eu 381.967,1/31/2023,12:40:44 PM,Eu,381.951,3637708.349,0.139281344,12.38943265,12.38943265,12.389,12.389,0.14207201,0.999944883,1,1/31/2023,12:40:09 PM,13811528.47,3631881.704,12.36919045,12.36919045,2,1/31/2023,12:40:26 PM,13808465.32,3641078.389,12.40114042,12.40114042,3,1/31/2023,12:40:44 PM,13803883.08,3640164.953,12.39796707,12.39796707,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:46:06 PM,Sc,361.376,18052187.45,0.08164535,101.2975382, ,101.3, ,0.08164535, ,1,1/31/2023,12:45:42 PM,18046318.48,18046318.48,101.2646052, ,2,1/31/2023,12:45:54 PM,18041287.28,18041287.28,101.2363733, ,3,1/31/2023,12:46:06 PM,18068956.6,18068956.6,101.3916362, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:46:11 PM,Eu,381.951,-359.7145117,29.50653827,-0.24948658,-0.24948658,-0.2495,-0.2495,0.147797861,0.999944883,1,1/31/2023,12:45:47 PM,419.3918357,-244.1656973,-0.249085155,-0.249085155,2,1/31/2023,12:45:59 PM,279.6284894,-382.1066547,-0.249564372,-0.249564372,3,1/31/2023,12:46:11 PM,208.3080329,-452.8711832,-0.249810213,-0.249810213,,,,,,,,,,,,,,
blank,Sc 361.383,1/31/2023,12:51:31 PM,Sc,361.376,18472349.25,0.617327311,103.6552223, ,103.66, ,0.617327311, ,1,1/31/2023,12:51:08 PM,18602634.14,18602634.14,104.3862994, ,2,1/31/2023,12:51:19 PM,18423739.57,18423739.57,103.3824554, ,3,1/31/2023,12:51:31 PM,18390674.03,18390674.03,103.1969123, ,,,,,,,,,,,,,,
blank,Eu 381.967,1/31/2023,12:51:36 PM,Eu,381.951,-603.6388459,5.6279856,-0.250333991,-0.250333991,-0.2503,-0.2503,0.047146499,0.999944883,1,1/31/2023,12:51:13 PM,95.43381242,-566.896419,-0.250206345,-0.250206345,2,1/31/2023,12:51:25 PM,25.2343942,-633.9113363,-0.25043916,-0.25043916,3,1/31/2023,12:51:36 PM,49.75260608,-610.1087824,-0.250356468,-0.250356468,,,,,,,,,,,,,,
